iter	RMSE
0	33035.53818
1	32463.49686
2	31930.33977
3	31432.52502
4	30979.81455
5	30558.871
6	30180.96501
7	29773.97113
8	29405.11714
9	29067.43745
10	28756.21219
11	28466.04758
12	28204.47375
13	27955.07587
14	27730.6897
15	27519.45125
16	27334.04348
17	27157.39932
18	26987.32116
19	26839.12138
20	26705.99097
21	26580.88491
22	26461.39212
23	26359.17101
24	26258.51381
25	26165.81013
26	26073.30453
27	25997.96192
28	25928.33665
29	25856.01647
30	25790.77087
31	25731.56687
32	25679.74879
33	25630.22099
34	25583.11398
35	25538.01801
36	25493.43297
37	25450.82043
38	25406.72412
39	25365.50759
40	25328.70361
41	25296.91392
42	25263.90408
43	25228.86428
44	25199.8811
45	25175.10172
46	25150.84293
47	25128.07153
48	25102.09155
49	25083.68443
50	25061.86247
51	25039.18351
52	25022.6409
53	25005.23643
54	24984.65187
55	24965.29791
56	24950.72329
57	24937.9149
58	24921.95518
59	24908.98773
60	24894.03809
61	24880.8444
62	24868.41243
63	24855.70473
64	24843.55165
65	24834.06563
66	24825.66788
67	24817.54703
68	24808.53664
69	24800.10131
70	24790.73259
71	24782.02973
72	24776.85127
73	24766.39343
74	24755.82577
75	24746.40954
76	24738.14087
77	24732.15585
78	24724.86399
79	24717.99465
80	24710.78598
81	24702.8217
82	24698.49627
83	24693.34591
84	24686.64044
85	24679.42756
86	24673.49167
87	24667.54349
88	24659.68368
89	24653.84906
90	24648.44519
91	24643.22813
92	24637.21498
93	24630.68181
94	24623.153
95	24616.8475
96	24610.81668
97	24607.06354
98	24604.63691
99	24600.52635
100	24596.31782
101	24591.67863
102	24589.81153
103	24584.91589
104	24581.86425
105	24576.11128
106	24572.62156
107	24570.52672
108	24566.51477
109	24563.73947
110	24556.84135
111	24553.23643
112	24549.97604
113	24545.78195
114	24544.11905
115	24541.89151
116	24540.16357
117	24536.04591
118	24533.6892
119	24529.92503
120	24527.05997
121	24524.38756
122	24522.39902
123	24519.3689
124	24514.98236
125	24510.69853
126	24508.81906
127	24506.37882
128	24503.05149
129	24500.87495
130	24497.75327
131	24494.26858
132	24491.98438
133	24488.31797
134	24485.88588
135	24484.27779
136	24480.76744
137	24477.47092
138	24473.60674
139	24471.58666
140	24468.69115
141	24465.87235
142	24463.74799
143	24461.78957
144	24458.63363
145	24455.38428
146	24452.95256
147	24451.57623
148	24449.96023
149	24448.79048
150	24446.78734
151	24445.36822
152	24443.22434
153	24442.20083
154	24439.92574
155	24438.82855
156	24436.64795
157	24433.65199
158	24432.21206
159	24430.75793
160	24428.77017
161	24426.78305
162	24423.56781
163	24422.09496
164	24420.91532
165	24418.77973
166	24417.0661
167	24415.48747
168	24411.7604
169	24409.87609
170	24406.12679
171	24403.56174
172	24401.83057
173	24400.26991
174	24398.68449
175	24396.76726
176	24395.27624
177	24392.14013
178	24390.44386
179	24387.49835
180	24385.0165
181	24383.33523
182	24381.23369
183	24379.77711
184	24377.75248
185	24376.16686
186	24372.82388
187	24371.00787
188	24369.90073
189	24368.85665
190	24367.2978
191	24365.74094
192	24364.86198
193	24362.48908
194	24360.13139
195	24358.36932
196	24356.5649
197	24355.17136
198	24352.57052
199	24351.01834
200	24348.12701
201	24346.52767
202	24345.17363
203	24344.08546
204	24340.47496
205	24337.83509
206	24335.29782
207	24333.80303
208	24332.71766
209	24332.1144
210	24329.92021
211	24327.63199
212	24325.67114
213	24324.8646
214	24323.99885
215	24322.64444
216	24319.87075
217	24318.6709
218	24316.12186
219	24314.38661
220	24312.3557
221	24311.57089
222	24310.79269
223	24309.44658
224	24308.2794
225	24307.56171
226	24304.6624
227	24303.75213
228	24302.03418
229	24300.54653
230	24299.29366
231	24297.63492
232	24296.456
233	24295.69497
234	24293.68798
235	24291.89421
236	24290.97833
237	24289.79775
238	24288.18346
239	24286.25102
240	24284.73627
241	24283.41429
242	24281.61038
243	24279.98751
244	24279.45436
245	24278.01747
246	24276.82075
247	24275.04709
248	24273.76781
249	24273.2809
250	24271.67766
251	24268.78132
252	24266.59898
253	24265.35539
254	24264.09821
255	24263.36726
256	24262.13544
257	24261.17879
258	24259.13704
259	24257.1429
260	24255.90626
261	24255.17519
262	24254.25505
263	24252.48341
264	24251.73634
265	24250.10913
266	24247.5952
267	24246.15215
268	24244.66551
269	24243.9661
270	24243.23276
271	24241.51367
272	24240.50435
273	24239.00033
274	24238.29618
275	24236.68384
276	24235.59043
277	24233.90651
278	24232.09554
279	24230.30376
280	24229.85867
281	24228.74415
282	24227.93297
283	24225.86887
284	24224.41312
285	24222.31314
286	24220.39825
287	24219.86636
288	24219.43383
289	24218.59079
290	24217.76343
291	24215.49807
292	24213.68782
293	24212.12864
294	24210.29557
295	24207.98416
296	24205.59651
297	24204.60322
298	24203.6379
299	24202.5026
300	24201.69577
301	24200.9826
302	24199.84481
303	24198.25088
304	24197.72234
305	24196.97003
306	24194.95906
307	24193.38685
308	24190.89941
309	24189.67877
310	24188.27223
311	24187.64659
312	24186.51579
313	24184.11784
314	24183.21942
315	24182.50305
316	24181.12604
317	24179.6059
318	24178.93328
319	24178.3063
320	24176.22323
321	24175.6945
322	24174.36801
323	24173.43694
324	24172.65798
325	24172.05068
326	24170.43299
327	24169.69241
328	24168.68117
329	24167.88574
330	24166.81782
331	24165.21271
332	24164.60274
333	24163.52758
334	24162.98851
335	24162.00946
336	24160.96421
337	24160.58813
338	24159.82645
339	24159.0645
340	24158.35407
341	24156.72517
342	24154.7884
343	24154.46804
344	24153.65669
345	24152.81169
346	24152.4724
347	24151.45421
348	24149.51725
349	24148.28421
350	24147.69272
351	24146.93279
352	24145.66423
353	24144.9717
354	24143.65801
355	24141.74293
356	24140.45274
357	24139.28637
358	24138.50138
359	24137.53453
360	24136.09757
361	24135.27021
362	24134.79506
363	24134.39129
364	24133.45095
365	24131.63167
366	24130.57112
367	24130.01447
368	24129.07781
369	24128.39978
370	24127.8101
371	24126.70633
372	24126.43032
373	24125.75908
374	24125.08811
375	24124.64517
376	24123.00181
377	24121.86044
378	24118.98876
379	24117.71687
380	24117.01326
381	24116.02351
382	24115.5514
383	24115.0223
384	24113.27975
385	24112.56685
386	24112.31719
387	24111.39789
388	24110.63865
389	24109.49153
390	24108.42586
391	24108.14061
392	24107.02231
393	24106.2347
394	24105.38037
395	24104.70292
396	24103.72769
397	24102.27916
398	24101.52153
399	24101.20703
400	24099.34533
401	24096.85924
402	24096.11693
403	24095.48385
404	24094.65231
405	24093.60746
406	24092.50064
407	24090.88462
408	24090.5296
409	24090.29082
410	24088.89103
411	24088.47116
412	24087.28976
413	24086.88945
414	24086.32107
415	24085.42299
416	24084.57564
417	24083.84369
418	24082.998
419	24082.42508
420	24081.89972
421	24081.31913
422	24079.66709
423	24079.2761
424	24077.97216
