iter	Passed	Remaining
0	352	352108
1	577	287978
2	854	283835
3	1096	273136
4	1318	262416
5	1543	255701
6	1763	250207
7	1957	242748
8	2141	235754
9	2370	234688
10	2557	229935
11	2739	225549
12	2904	220528
13	3084	217264
14	3266	214483
15	3426	210738
16	3610	208753
17	3816	208217
18	4005	206795
19	4164	204073
20	4349	202748
21	4495	199858
22	4692	199337
23	4865	197873
24	5045	196761
25	5240	196331
26	5441	196098
27	5628	195372
28	5793	193980
29	5985	193534
30	6144	192069
31	6330	191509
32	6540	191648
33	6723	191023
34	6935	191213
35	7132	191003
36	7319	190499
37	7534	190749
38	7860	193685
39	8079	193897
40	8268	193405
41	8436	192440
42	8637	192235
43	8845	192195
44	8997	190949
45	9163	190035
46	9379	190191
47	9572	189854
48	9769	189609
49	9929	188651
50	10111	188155
51	10335	188425
52	10509	187781
53	10698	187414
54	10881	186969
55	11096	187061
56	11349	187757
57	11552	187631
58	11755	187495
59	11986	187784
60	12214	188022
61	12347	186810
62	12546	186600
63	12784	186969
64	12985	186798
65	13281	187956
66	13489	187840
67	13683	187549
68	13877	187250
69	14091	187218
70	14274	186775
71	14485	186706
72	14619	185645
73	14837	185663
74	15040	185497
75	15264	185585
76	15453	185239
77	15676	185306
78	15867	184987
79	16070	184809
80	16269	184587
81	16466	184342
82	16642	183871
83	16820	183421
84	17044	183481
85	17256	183405
86	17468	183319
87	17692	183355
88	17894	183167
89	18106	183079
90	18306	182866
91	18565	183230
92	18740	182770
93	18901	182177
94	19085	181816
95	19292	181669
96	19510	181627
97	19763	181909
98	19965	181704
99	20155	181401
100	20477	182273
101	20750	182687
102	20978	182698
103	21221	182834
104	21467	182986
105	21667	182740
106	21844	182306
107	22056	182169
108	22242	181820
109	22458	181707
110	22673	181588
111	22877	181387
112	23075	181129
113	23283	180959
114	23543	181182
115	23796	181347
116	24078	181720
117	24409	182447
118	24647	182472
119	24952	182984
120	25147	182686
121	25345	182403
122	25563	182267
123	25885	182871
124	26141	182990
125	26389	183049
126	26557	182553
127	26748	182221
128	26995	182268
129	27175	181867
130	27376	181606
131	27554	181189
132	27798	181211
133	28028	181141
134	28231	180891
135	28444	180707
136	28651	180486
137	28867	180316
138	29062	180019
139	29351	180299
140	29604	180358
141	29902	180676
142	30141	180640
143	30344	180384
144	30560	180200
145	30756	179904
146	30944	179564
147	31128	179198
148	31298	178759
149	31479	178381
150	31707	178274
151	31882	177870
152	32082	177606
153	32274	177298
154	32465	176989
155	32627	176525
156	32779	176006
157	32949	175589
158	33136	175267
159	33303	174843
160	33506	174610
161	33668	174162
162	33876	173955
163	34058	173614
164	34243	173291
165	34440	173030
166	34655	172862
167	34825	172471
168	35048	172339
169	35276	172230
170	35500	172104
171	35709	171903
172	35861	171432
173	36037	171072
174	36251	170898
175	36429	170555
176	36604	170199
177	36729	169617
178	36923	169351
179	37101	169018
180	37311	168829
181	37513	168603
182	37699	168307
183	37926	168197
184	38375	169058
185	38586	168868
186	38801	168691
187	38992	168414
188	39199	168206
189	39460	168227
190	39633	167870
191	39853	167716
192	39999	167250
193	40286	167377
194	40634	167749
195	40895	167755
196	41037	167275
197	41218	166955
198	41400	166640
199	41565	166260
200	41743	165936
201	41917	165596
202	42119	165366
203	42250	164858
204	42438	164577
205	42662	164435
206	42857	164183
207	43071	164002
208	43238	163642
209	43441	163422
210	43629	163144
211	43834	162930
212	44057	162783
213	44248	162521
214	44450	162297
215	44653	162074
216	44860	161870
217	45047	161591
218	45244	161350
219	45426	161056
220	45656	160933
221	45889	160819
222	46085	160575
223	46261	160264
224	46440	159962
225	46636	159719
226	46845	159522
227	47080	159412
228	47286	159205
229	47620	159424
230	47900	159460
